,dailyconfirmed,dailydeceased,dailyrecovered,date,totalconfirmed,totaldeceased,totalrecovered,month
43,10,0,6,2020-03-13,91,1,10,Mar
44,11,1,0,2020-03-14,102,2,10,Mar
45,10,0,3,2020-03-15,112,2,13,Mar
46,14,0,1,2020-03-16,126,2,14,Mar
47,20,1,1,2020-03-17,146,3,15,Mar
48,25,0,0,2020-03-18,171,3,15,Mar
49,27,1,5,2020-03-19,198,4,20,Mar
50,58,0,3,2020-03-20,256,4,23,Mar
51,78,0,0,2020-03-21,334,4,23,Mar
52,69,3,0,2020-03-22,403,7,23,Mar
53,94,2,2,2020-03-23,497,9,25,Mar
54,74,1,15,2020-03-24,571,10,40,Mar
55,86,1,3,2020-03-25,657,11,43,Mar
56,73,5,7,2020-03-26,730,16,50,Mar
57,153,3,25,2020-03-27,883,19,75,Mar
58,136,5,10,2020-03-28,1019,24,85,Mar
59,120,3,17,2020-03-29,1139,27,102,Mar
60,187,14,35,2020-03-30,1326,41,137,Mar
61,309,6,13,2020-03-31,1635,47,150,Mar
62,424,6,19,2020-04-01,2059,53,169,Apr
63,486,16,22,2020-04-02,2545,69,191,Apr
64,560,14,39,2020-04-03,3105,83,230,Apr
65,579,13,56,2020-04-04,3684,96,286,Apr
66,609,22,43,2020-04-05,4293,118,329,Apr
67,484,16,65,2020-04-06,4777,134,394,Apr
68,573,27,75,2020-04-07,5350,161,469,Apr
69,565,20,96,2020-04-08,5915,181,565,Apr
70,813,46,70,2020-04-09,6728,227,635,Apr
71,871,22,151,2020-04-10,7599,249,786,Apr
72,854,41,186,2020-04-11,8453,290,972,Apr
73,758,42,114,2020-04-12,9211,332,1086,Apr
74,1243,27,112,2020-04-13,10454,359,1198,Apr
75,1031,37,167,2020-04-14,11485,396,1365,Apr
76,886,27,144,2020-04-15,12371,423,1509,Apr
77,1061,26,258,2020-04-16,13432,449,1767,Apr
78,922,38,273,2020-04-17,14354,487,2040,Apr
79,1371,35,426,2020-04-18,15725,522,2466,Apr
80,1580,38,388,2020-04-19,17305,560,2854,Apr
81,1239,33,419,2020-04-20,18544,593,3273,Apr
82,1537,53,703,2020-04-21,20081,646,3976,Apr
83,1292,36,394,2020-04-22,21373,682,4370,Apr
